parentCommitID;childCommitID;totalDelta
e8ec37b;44ca674;Alib/snappy-0.1.jar,Asrc/java/voldemort/store/compress/SnappyCompressionStrategy.java
e081a12;4d20385;Mtest/integration/voldemort/rebalance/RebalanceBBFail.sh,Mtest/integration/voldemort/rebalance/setup_env.inc
39ca0e0;fe10ef0;Msrc/java/voldemort/server/VoldemortJsvcDaemon.java,Msrc/java/voldemort/server/VoldemortServer.java
82fd240;e699144;Msrc/java/voldemort/server/rebalance/async/DonorBasedRebalancePusherSlave.java,Msrc/java/voldemort/server/rebalance/async/DonorBasedRebalanceAsyncOperation.java
c3972b6;9551750;Mtest/integration/voldemort/rebalance/RebalanceBBFail.sh,Mtest/integration/voldemort/rebalance/setup_env.inc
a511e3d;d23c317;Mbuild.xml,Mbuild.properties
db83276;03613ad;Msrc/java/voldemort/store/routed/action/AbstractConfigureNodes.java,Msrc/java/voldemort/server/VoldemortServer.java
bf93459;d2687eb;Mrelease_notes.txt,Mbuild.properties
cbc356d;e5ac4d6;Mtest/integration/voldemort/rebalance/StartRebalanceProcess.sh,Msrc/java/voldemort/server/rebalance/async/DonorBasedRebalancePusherSlave.java,Msrc/java/voldemort/server/rebalance/async/DonorBasedRebalanceAsyncOperation.java
b5f56e5;81abff6;Mtest/integration/voldemort/rebalance/RebalanceBBFail.sh,Mtest/integration/voldemort/rebalance/metadata/target-cluster.xml,Mtest/integration/voldemort/rebalance/metadata/initial-cluster.xml
10ca233;74e0d94;Msrc/java/voldemort/server/scheduler/slop/StreamingSlopPusherJob.java,Mtest/common/voldemort/ServerTestUtils.java,Mtest/unit/voldemort/scheduled/StreamingSlopPusherTest.java
1c3ccf5;bf93459;Msrc/java/voldemort/server/scheduler/slop/StreamingSlopPusherJob.java,Mtest/common/voldemort/ServerTestUtils.java,Mtest/unit/voldemort/scheduled/StreamingSlopPusherTest.java
4d20385;50f243f;Mrelease_notes.txt,Msrc/java/voldemort/store/socket/clientrequest/ClientRequestExecutorPool.java,Mbuild.properties
fe10ef0;a511e3d;Dlib/libthrift-0.5.0.jar,Alib/libthrift-0.8.0.jar,M.classpath
83668c1;20b8333;Msrc/java/voldemort/server/jmx/JmxService.java,Msrc/java/voldemort/server/VoldemortConfig.java,Msrc/java/voldemort/server/storage/StorageService.java,Msrc/java/voldemort/server/protocol/SocketRequestHandlerFactory.java
74e0d94;0a04cf9;Msrc/java/voldemort/server/jmx/JmxService.java,Msrc/java/voldemort/server/VoldemortConfig.java,Msrc/java/voldemort/server/storage/StorageService.java,Msrc/java/voldemort/server/protocol/SocketRequestHandlerFactory.java
3157357;fc06b17;Msrc/java/voldemort/client/protocol/admin/AdminClient.java,Msrc/java/voldemort/server/VoldemortConfig.java,Msrc/java/voldemort/server/protocol/admin/AdminServiceRequestHandler.java,Msrc/java/voldemort/server/storage/StorageService.java
9551750;90c2757;Msrc/java/voldemort/client/protocol/admin/AdminClient.java,Msrc/java/voldemort/server/rebalance/async/DonorBasedRebalancePusherSlave.java,Msrc/java/voldemort/client/rebalance/RebalanceCLI.java,Msrc/java/voldemort/server/rebalance/async/DonorBasedRebalanceAsyncOperation.java
fc06b17;ad05eaf;Dsrc/java/voldemort/server/scheduler/slop/RepairJob.java,Asrc/java/voldemort/server/storage/RepairJob.java,Msrc/java/voldemort/server/StoreRepository.java,Msrc/java/voldemort/server/protocol/admin/AdminServiceRequestHandler.java,Msrc/java/voldemort/server/storage/StorageService.java
acd8a64;903943f;Mtest/integration/voldemort/rebalance/metadata/voldemort-server.sh,Mbin/voldemort-server.sh,Msrc/java/voldemort/server/VoldemortJsvcDaemon.java,Msrc/java/voldemort/server/VoldemortConfig.java,Msrc/java/voldemort/server/VoldemortServer.java
b410087;30d183a;Msrc/java/voldemort/VoldemortAdminTool.java,Msrc/java/voldemort/utils/RebalanceUtils.java,Msrc/java/voldemort/utils/Entropy.java,Msrc/java/voldemort/VoldemortClientShell.java,Mconfig/test_config2/config/cluster.xml,Mconfig/test_config1/config/cluster.xml
6448e71;b5f56e5;Mtest/integration/voldemort/rebalance/config/test_config4/config/server.properties,Mtest/integration/voldemort/rebalance/config/test_config6/config/server.properties,Mtest/integration/voldemort/rebalance/config/test_config1/config/server.properties,Mtest/integration/voldemort/rebalance/config/test_config3/config/server.properties,Mtest/integration/voldemort/rebalance/config/test_config5/config/server.properties,Mtest/integration/voldemort/rebalance/config/test_config2/config/server.properties,Msrc/java/voldemort/server/rebalance/async/DonorBasedRebalanceAsyncOperation.java
