parentCommitID;childCommitID;totalDelta
012ba09;b6266cd;Msrc/java/voldemort/store/bdb/BdbStorageConfiguration.java,Msrc/java/voldemort/server/VoldemortConfig.java
a37abfb;d3867bf;Msrc/java/voldemort/store/readonly/ReadOnlyStorageEngine.java,Msrc/java/voldemort/store/readonly/JsonStoreBuilder.java
516bc3a;67443e6;Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/mapreduce/HadoopStoreJobRunner.java,Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/mr/HadoopStoreJobRunner.java
a5fc07d;46a8829;Msrc/java/voldemort/store/bdb/BdbStorageConfiguration.java,Msrc/java/voldemort/server/VoldemortConfig.java
ca9f374;7857afa;Msrc/java/voldemort/client/protocol/admin/AdminClient.java,Msrc/java/voldemort/utils/RebalanceUtils.java
d3867bf;8378cec;Mcontrib/hadoop-store-builder/test/voldemort/store/readonly/checksum/CheckSumTests.java,Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/fetcher/HdfsFetcher.java,Mcontrib/hadoop-store-builder/test/voldemort/store/readonly/fetcher/HdfsFetcherTest.java
9169b88;0c9fec9;Msrc/java/voldemort/store/grandfather/GrandfatheringStore.java,Msrc/java/voldemort/utils/KeyDistributionGenerator.java,Msrc/java/voldemort/client/rebalance/MigratePartitions.java
23c9b28;1ee8246;Msrc/java/voldemort/store/readonly/ReadOnlyStorageEngine.java,Mtest/unit/voldemort/store/readonly/ReadOnlyStorageEngineTest.java,Mtest/unit/voldemort/store/readonly/ReadOnlyStorageEngineTestInstance.java
5400077;b17f572;Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/checksum/CRC32CheckSum.java,Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/checksum/Adler32CheckSum.java,Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/checksum/MD5CheckSum.java,Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/checksum/CheckSum.java
1ee8246;5400077;Msrc/java/voldemort/store/readonly/ChunkedFileSet.java,Msrc/java/voldemort/store/readonly/ReadOnlyStorageEngine.java,Mtest/unit/voldemort/store/readonly/ReadOnlyStorageEngineTest.java,Msrc/java/voldemort/store/readonly/JsonStoreBuilder.java
406a64d;a37abfb;Msrc/java/voldemort/xml/StoreDefinitionsMapper.java,Msrc/java/voldemort/xml/stores.xsd,Msrc/java/voldemort/store/StoreDefinitionBuilder.java,Mconfig/single_node_cluster/config/stores.xml,Msrc/java/voldemort/store/StoreDefinition.java
acb2a62;dea67a5;Dcontrib/common/test-data/usersCSV.txt,Dcontrib/common/config/stores.xml,Dcontrib/common/config/nine-node-cluster.xml,Dcontrib/common/config/testSwapStore.xml,Dcontrib/common/config/two-node-cluster.xml
c9b66c6;a5fc07d;Mtest/unit/voldemort/client/rebalance/AbstractRebalanceTest.java,Msrc/java/voldemort/client/CachingStoreClientFactory.java,Msrc/java/voldemort/client/LazyStoreClient.java,Mtest/unit/voldemort/client/CachingStoreClientFactoryTest.java,Mtest/integration/voldemort/TestClientShutdown.java
d4ed7f7;051ba54;Mclients/python/voldemort/serialization/json_serializer.py,Mclients/python/README,Mclients/python/voldemort/client.py,Mclients/python/setup.py,Mclients/python/tests/test_client.py,Asrc/java/voldemort/client/rebalance/ConvertCluster.java
4c49cf6;d037852;Msrc/java/voldemort/server/protocol/admin/AdminServiceRequestHandler.java,Msrc/java/voldemort/VoldemortAdminTool.java,Mtest/unit/voldemort/client/rebalance/MigratePartitionsTest.java,Msrc/java/voldemort/server/scheduler/slop/BlockingSlopPusherJob.java,Msrc/java/voldemort/client/rebalance/MigratePartitions.java,Msrc/java/voldemort/server/scheduler/slop/StreamingSlopPusherJob.java
6a9e494;a444a67;Msrc/java/voldemort/versioning/VectorClockInconsistencyResolver.java,Atest/integration/voldemort/performance/MetadataStressTest.java,Msrc/java/voldemort/versioning/MergingInconsistencyResolver.java,Msrc/java/voldemort/versioning/TimeBasedInconsistencyResolver.java,Msrc/java/voldemort/versioning/ArbitraryInconsistencyResolver.java,Msrc/java/voldemort/versioning/FailingInconsistencyResolver.java
019d24c;06e60e6;Msrc/java/voldemort/store/readonly/ChunkedFileSet.java,Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/mr/HadoopStoreBuilderReducer.java,Mcontrib/hadoop-store-builder/src/java/voldemort/store/readonly/mapreduce/HadoopStoreBuilderReducer.java,Mcontrib/hadoop-store-builder/test/voldemort/store/readonly/mr/HadoopStoreBuilderTest.java,Mtest/unit/voldemort/store/readonly/SearchStrategyTest.java,Msrc/java/voldemort/store/readonly/InterpolationSearchStrategy.java,Mcontrib/hadoop-store-builder/test/voldemort/store/readonly/mapreduce/HadoopStoreBuilderTest.java,Msrc/java/voldemort/store/readonly/JsonStoreBuilder.java
